Target site: layer 1, position 12
Shared dirs: (10, 64), Reference acts: (2000, 64)

============================================================
CONDITION A (alpha=0.1, 20 seeds)
============================================================
  Training A_seed0...
  Step   2200 | loss 0.0261 | aux 0.0000 | acc 0.9240 | 39s
  Step   2400 | loss 0.0181 | aux 0.0000 | acc 0.9584 | 43s
  Step   2600 | loss 0.0182 | aux 0.0000 | acc 0.9632 | 46s
  Step   2800 | loss 0.0168 | aux 0.0000 | acc 0.9696 | 50s
  Step   3000 | loss 0.0090 | aux 0.0000 | acc 0.9698 | 53s
  Step   3200 | loss 0.0141 | aux 0.0000 | acc 0.9676 | 57s
  Step   3400 | loss 0.0120 | aux 0.0000 | acc 0.9782 | 60s
  Step   3600 | loss 0.0059 | aux 0.0000 | acc 0.9834 | 64s
  Step   3800 | loss 0.0166 | aux 0.0000 | acc 0.9840 | 67s
  Step   4000 | loss 0.0031 | aux 0.0000 | acc 0.9936 | 71s
  >>> Converged at step 4000
  Step   4200 | loss 0.0061 | aux 0.0000 | acc 0.9942 | 75s
  Step   4400 | loss 0.0072 | aux 0.0000 | acc 0.9972 | 78s
  Training A_seed5...
  Step    200 | loss 1.6876 | aux 0.0000 | acc 0.0000 | 4s
  Step    400 | loss 1.6264 | aux 0.0000 | acc 0.0000 | 7s
  Step    600 | loss 1.6004 | aux 0.0000 | acc 0.0002 | 10s
  Step    800 | loss 1.5759 | aux 0.0000 | acc 0.0000 | 14s
  Step   1000 | loss 1.5313 | aux 0.0000 | acc 0.0002 | 17s
  Step   1200 | loss 1.3286 | aux 0.0000 | acc 0.0004 | 21s
  Step   1400 | loss 1.1866 | aux 0.0000 | acc 0.0016 | 24s
  Step   1600 | loss 0.9417 | aux 0.0000 | acc 0.0070 | 28s
  Step   1800 | loss 0.8536 | aux 0.0000 | acc 0.0088 | 31s
  Step   2000 | loss 0.8676 | aux 0.0000 | acc 0.0108 | 35s
  Step   2200 | loss 0.4262 | aux 0.0000 | acc 0.1744 | 39s
  Step   2400 | loss 0.1437 | aux 0.0000 | acc 0.6784 | 42s
  Step   2600 | loss 0.1025 | aux 0.0000 | acc 0.7876 | 46s
  Step   2800 | loss 0.0877 | aux 0.0000 | acc 0.8656 | 49s
